dataset,filename,setting,psnr,ssim,lpips
U90,15094.png,Uniform guide,33.3580322265625,0.974888026714325,0.032250404357910156
U90,15113.png,Uniform guide,29.623516082763672,0.9779167771339417,0.03161236643791199
U90,15094.png,Raw-input guide,33.376922607421875,0.9748473167419434,0.0332246795296669
U90,15113.png,Raw-input guide,29.636877059936523,0.9780041575431824,0.03217989206314087
U90,15094.png,Cross-image guide,31.99273681640625,0.9660235047340393,0.03948744386434555
U90,15113.png,Cross-image guide,28.35221290588379,0.9765799641609192,0.04364519566297531
U90,15094.png,Full spatial guide,33.439334869384766,0.9753690361976624,0.032753270119428635
U90,15113.png,Full spatial guide,29.59113121032715,0.9779660105705261,0.032573383301496506
U90,15136.png,Zero guide,22.309770584106445,0.9287720322608948,0.12198726087808609
U90,1539.png,Zero guide,20.30815887451172,0.8750758171081543,0.06795413792133331
U90,15136.png,Uniform guide,31.216007232666016,0.9822773933410645,0.01579972729086876
U90,1539.png,Uniform guide,19.055526733398438,0.8619842529296875,0.08762244880199432
U90,15136.png,Raw-input guide,31.092538833618164,0.9830216765403748,0.016106078401207924
U90,1539.png,Raw-input guide,20.740726470947266,0.8977761268615723,0.06209883093833923
U90,15136.png,Cross-image guide,26.93569564819336,0.9566604495048523,0.08535489439964294
U90,1539.png,Cross-image guide,21.236305236816406,0.8954231142997742,0.06661803275346756
U90,15136.png,Full spatial guide,31.260120391845703,0.9845364093780518,0.014942796900868416
U90,1539.png,Full spatial guide,20.712528228759766,0.8974306583404541,0.06280972808599472
U90,15418.png,Zero guide,19.778093338012695,0.7474715113639832,0.2580406069755554
U90,15426.png,Zero guide,19.39552879333496,0.8036141395568848,0.19024470448493958
