dataset,filename,severity,spatial_score,method,psnr,ssim
LSUI,3078.jpg,Moderate,6.853799819946289,Uniform guide,26.331703186035156,0.8963120579719543
LSUI,3079.jpg,Mild,4.067289352416992,Uniform guide,22.813844680786133,0.8391886353492737
LSUI,3080.jpg,Mild,5.957526206970215,Uniform guide,27.848548889160156,0.9130743145942688
LSUI,3081.jpg,Severe,9.217418670654297,Uniform guide,19.213960647583008,0.8213030695915222
LSUI,3082.jpg,Moderate,6.9391865730285645,Uniform guide,27.907028198242188,0.901665449142456
LSUI,3083.jpg,Mild,2.924832344055176,Uniform guide,18.992935180664062,0.7875351905822754
LSUI,3084.jpg,Mild,4.552121639251709,Uniform guide,22.864343643188477,0.8677739500999451
LSUI,3077.jpg,Mild,4.3470001220703125,PROTEUS,28.231605529785156,0.8896992802619934
LSUI,3078.jpg,Moderate,6.853799819946289,PROTEUS,29.437068939208984,0.9142383933067322
LSUI,3079.jpg,Mild,4.067289352416992,PROTEUS,27.99933433532715,0.864215075969696
LSUI,3080.jpg,Mild,5.957526206970215,PROTEUS,27.251968383789062,0.9118477702140808
LSUI,3081.jpg,Severe,9.217418670654297,PROTEUS,31.097251892089844,0.9115021824836731
LSUI,3082.jpg,Moderate,6.9391865730285645,PROTEUS,28.90714454650879,0.8819804191589355
LSUI,3083.jpg,Mild,2.924832344055176,PROTEUS,25.45998764038086,0.8984454274177551
LSUI,3084.jpg,Mild,4.552121639251709,PROTEUS,27.078611373901367,0.8955633640289307
LSUI,3085.jpg,Severe,9.862863540649414,Input,21.73907470703125,0.8219680786132812
LSUI,3086.jpg,Mild,5.685690402984619,Input,20.454139709472656,0.834942102432251
LSUI,3087.jpg,Moderate,6.733147621154785,Input,22.69470977783203,0.8036696910858154
LSUI,3088.jpg,Severe,8.201327323913574,Input,19.669939041137695,0.7639816403388977
LSUI,3089.jpg,Severe,8.129585266113281,Input,20.528867721557617,0.8810983300209045
LSUI,3090.jpg,Severe,9.679265022277832,Input,18.807723999023438,0.8297555446624756
LSUI,3091.jpg,Moderate,6.578815460205078,Input,23.058149337768555,0.8409460186958313
LSUI,3092.jpg,Mild,3.2940056324005127,Input,20.030712127685547,0.8418848514556885
LSUI,3085.jpg,Severe,9.862863540649414,WWE-UIE,31.394166946411133,0.8825087547302246
LSUI,3086.jpg,Mild,5.685690402984619,WWE-UIE,24.859329223632812,0.8900114893913269
LSUI,3087.jpg,Moderate,6.733147621154785,WWE-UIE,27.847402572631836,0.8711175918579102
LSUI,3088.jpg,Severe,8.201327323913574,WWE-UIE,26.50958824157715,0.8727302551269531
LSUI,3089.jpg,Severe,8.129585266113281,WWE-UIE,29.500953674316406,0.9185667037963867
LSUI,3090.jpg,Severe,9.679265022277832,WWE-UIE,29.067583084106445,0.8989192843437195
LSUI,3091.jpg,Moderate,6.578815460205078,WWE-UIE,27.086929321289062,0.8856806755065918
LSUI,3092.jpg,Mild,3.2940056324005127,WWE-UIE,30.292966842651367,0.9167482256889343
LSUI,3085.jpg,Severe,9.862863540649414,Uniform guide,25.202360153198242,0.8569789528846741
